Voltage (V)_x,Voltage (V)_y,Current (A)_x,Current (A)_y
1747893148.242357,50.001,1747893148.242357,0.001
1747893149.242275,50.001,1747893149.242275,0.001
1747893150.203613,50.001,1747893150.203613,0.001
1747893151.242543,50.001,1747893151.242543,0.001
1747893152.243136,50.001,1747893152.243136,0.001
1747893153.242769,50.001,1747893153.242769,0.001
1747893154.242038,50.001,1747893154.242038,0.001
1747893155.242485,50.001,1747893155.242485,0.001
1747893156.241405,50.001,1747893156.241405,0.001
1747893157.242185,50.001,1747893157.242185,0.001
1747893158.241118,50.001,1747893158.241118,0.001
1747893159.20345,50.001,1747893159.20345,0.001
1747893160.241408,50.001,1747893160.241408,0.001
1747893161.243263,50.001,1747893161.243263,0.001
1747893162.241799,50.001,1747893162.241799,0.001
1747893163.242427,50.001,1747893163.242427,0.001
1747893164.242358,50.001,1747893164.242358,0.001
1747893165.242444,50.001,1747893165.242444,0.001
1747893166.242468,50.001,1747893166.242468,0.001
1747893167.243559,50.001,1747893167.243559,0.001
1747893168.243108,50.001,1747893168.243108,0.001
1747893169.243773,50.001,1747893169.243773,0.001
1747893170.2435,50.001,1747893170.2435,0.001
1747893171.25039,50.001,1747893171.25039,0.001
1747893172.242052,50.001,1747893172.242052,0.001
1747893173.243368,50.001,1747893173.243368,0.001
1747893174.243055,50.001,1747893174.243055,0.001
1747893175.241688,50.001,1747893175.241688,0.001
1747893176.241958,50.001,1747893176.241958,0.001
1747893177.24217,50.001,1747893177.24217,0.001
1747893178.204677,50.001,1747893178.204677,0.001
1747893179.24227,50.001,1747893179.24227,0.001
1747893180.242607,50.001,1747893180.242607,0.001
1747893181.241943,50.001,1747893181.241943,0.001
1747893182.241863,50.001,1747893182.241863,0.001
1747893183.24259,50.001,1747893183.24259,0.001
1747893184.24271,50.001,1747893184.24271,0.001
1747893185.242503,50.001,1747893185.242503,0.001
1747893186.24268,50.001,1747893186.24268,0.001
1747893187.243091,50.001,1747893187.243091,0.001
1747893188.242543,50.001,1747893188.242543,0.001
1747893189.243391,50.001,1747893189.243391,0.001
1747893190.242794,50.001,1747893190.242794,0.001
1747893191.24189,50.,1747893191.24189,0.001
1747893192.242234,50.001,1747893192.242234,0.001
1747893193.242121,50.001,1747893193.242121,0.001
1747893194.242288,50.001,1747893194.242288,0.001
1747893195.242357,50.001,1747893195.242357,0.001
1747893196.242288,50.001,1747893196.242288,0.001
1747893197.243608,50.001,1747893197.243608,0.001
1747893198.242852,50.,1747893198.242852,0.001
1747893199.242541,50.,1747893199.242541,0.001
1747893200.241611,50.,1747893200.241611,0.001
1747893201.242866,50.001,1747893201.242866,0.001
1747893202.24223,50.001,1747893202.24223,0.001
1747893203.242841,50.001,1747893203.242841,0.001
1747893204.242704,50.001,1747893204.242704,0.001
1747893205.242311,50.001,1747893205.242311,0.001
